future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jul-2028	1346570.33863079	111274.474318906	71391.7789213451	23154.6352800995	26362.0163021606	255647.122481166	10622.1450143596	1312075.93206906	0	380939.381002379	67676.9747251545
Aug-2028	501317.974025684	39334.4720268035	24440.4685949196	3735.29845444147	24120.8347519675	295105.427200178	13590.7142426093	1914259.645456	0	253373.004471416	55822.7411583531
Sep-2028	273432.091622699	20493.5183543493	10805.0154111084	2266.33481048362	16392.6796186937	265359.195477228	4804.26941653984	466538.492513451	0	130927.146960965	38973.1419111141
Oct-2029	1800176.80185577	186093.07857758	172858.616773174	58616.870287873	51566.4780662306	73264.1717214408	65598.0036080451	400286.918114571	0	511305.727096335	84400.1104996224
Nov-2029	591154.874456029	59806.3306170576	67689.8927999591	12923.7418921988	53296.2249538734	1936.81966517662	16899.4011653773	161659.881386742	0	356600.739937525	87017.7608142907
Dec-2029	11406618.3206364	1112038.36457205	2026583.22044055	756066.206133889	1477904.90089962	1589.22390467218	535152.386403039	88374.6684380745	0	6823982.65121256	2359808.46590448
Jan-2029	4208103.10348813	445536.224616621	1003910.76756587	399442.529290713	1514339.96316068	4737.5442687585	465724.660960665	0	0	2676757.83176989	1188741.93907963
Feb-2029	9486054.17746134	891697.953241619	1308220.22239331	648636.197143667	2563407.22186068	5969.51538021786	879293.894393938	0	0	6677219.00109664	2625394.92590932
Mar-2029	3831246.14749972	312176.312309345	602101.750434683	354813.977986693	2177624.07037494	3427.08463393166	731730.835361437	0	0	2509523.83561931	1500166.5433435
Apr-2029	10645043.1751075	1015258.2288892	1250827.21198259	650487.530850272	2573296.91241493	370.018454610398	655508.12363223	0	0	7270627.04584237	3182055.69483907
May-2029	6200866.68063478	562877.631172137	471897.273545983	232686.490399347	554225.400032524	13038.0260358398	126917.000788744	209807.315519261	0	4826969.52640277	1599774.00754759
Jun-2029	11123954.972587	876938.235299162	712594.63372536	304127.991321937	235148.638843501	113544.838356123	84211.763614907	870881.957111844	0	6200967.4271299	1765182.66744507
Jul-2029	13959269.7864031	1072630.75561724	871173.744762737	269828.712023641	63142.9242794425	260073.029255775	26431.1055985224	2765514.04307511	0	5285041.24205937	1111004.66827949
Aug-2029	8026343.90944957	839928.763993418	514080.541413076	181333.251114456	43529.31095387	260408.000478456	16875.692763069	4772499.18477088	0	2697495.08283018	251939.00852501
Sep-2029	3238360.56909571	382706.613332979	172148.93237084	106687.932889066	35110.1278977811	206234.929773421	13462.8668100331	2204852.93237235	0	949062.347331094	82139.4228225843
Oct-2030	1800176.80185577	186093.07857758	172858.616773174	58616.870287873	51566.4780662306	73264.1717214408	65598.0036080451	400286.918114571	0	511305.727096335	84400.1104996224
Nov-2030	591154.874456029	59806.3306170576	67689.8927999591	12923.7418921988	53296.2249538734	1936.81966517662	16899.4011653773	161659.881386742	0	356600.739937525	87017.7608142907
Dec-2030	11406618.3206364	1112038.36457205	2026583.22044055	756066.206133889	1477904.90089962	1589.22390467218	535152.386403039	88374.6684380745	0	6823982.65121256	2359808.46590448
Jan-2030	4208103.10348813	445536.224616621	1003910.76756587	399442.529290713	1514339.96316068	4737.5442687585	465724.660960665	0	0	2676757.83176989	1188741.93907963
Feb-2030	9486054.17746134	891697.953241619	1308220.22239331	648636.197143667	2563407.22186068	5969.51538021786	879293.894393938	0	0	6677219.00109664	2625394.92590932
Mar-2030	3831246.14749972	312176.312309345	602101.750434683	354813.977986693	2177624.07037494	3427.08463393166	731730.835361437	0	0	2509523.83561931	1500166.5433435
Apr-2030	10645043.1751075	1015258.2288892	1250827.21198259	650487.530850272	2573296.91241493	370.018454610398	655508.12363223	0	0	7270627.04584237	3182055.69483907
May-2030	6200866.68063478	562877.631172137	471897.273545983	232686.490399347	554225.400032524	13038.0260358398	126917.000788744	209807.315519261	0	4826969.52640277	1599774.00754759
Jun-2030	11123954.972587	876938.235299162	712594.63372536	304127.991321937	235148.638843501	113544.838356123	84211.763614907	870881.957111844	0	6200967.4271299	1765182.66744507
Jul-2030	13959269.7864031	1072630.75561724	871173.744762737	269828.712023641	63142.9242794425	260073.029255775	26431.1055985224	2765514.04307511	0	5285041.24205937	1111004.66827949
Aug-2030	8026343.90944957	839928.763993418	514080.541413076	181333.251114456	43529.31095387	260408.000478456	16875.692763069	4772499.18477088	0	2697495.08283018	251939.00852501
Sep-2030	3238360.56909571	382706.613332979	172148.93237084	106687.932889066	35110.1278977811	206234.929773421	13462.8668100331	2204852.93237235	0	949062.347331094	82139.4228225843
Oct-2031	1112039.26701747	98813.741909645	29948.6840625245	18625.8240251285	28845.9928975954	67932.2456468791	16268.695457128	400858.462218269	0	272565.589977212	60851.7824151844
Nov-2031	432634.930730259	50645.1458521522	31167.7245956647	6094.01561916597	32472.5085153271	15755.1999471072	16432.8036605418	48873.2733053123	0	255522.235717175	64153.1127519216
Dec-2031	301707.150086464	37805.5520461001	20434.1927617963	4735.37107381981	25599.923860744	5844.81180183024	10663.6291811222	75606.3567458104	0	203712.434437202	52195.3618839064
Jan-2031	1354101.71341812	122800.159950661	602633.807958409	158476.156357405	284127.587073784	0	149009.585103978	0	0	734908.471217858	274737.765332648
Feb-2031	4854648.80059793	436732.840728414	1010278.46923087	468087.042897997	2192118.87501422	0	505638.706549779	0	0	3226591.29170738	1633302.02670909
Mar-2031	883540.123030249	122197.370599475	157453.136133303	50904.1118673666	211332.523287004	0	56240.9367528373	0	0	626908.261181233	210640.771782931
Apr-2031	2997962.177602	166343.130863737	148720.684133135	60742.263093045	132804.667603707	0	51906.8303832542	141261.815782414	0	1531781.58358897	420743.867053884
