future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Dec-2030	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2030	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2030	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2030	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2030	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
May-2030	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2030	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
Jul-2030	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2030	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2030	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2031	0	0	0	0	0	788884.428392066	0	99145.9557534132	0	0	0
Nov-2031	0	0	0	0	0	483248.163225603	0	69035.4518893718	0	0	0
Dec-2031	0	0	0	0	0	750493.035499331	0	114624.347752366	0	0	0
Jan-2031	0	0	0	0	0	498373.847153509	0	99674.7694307022	0	0	0
Feb-2031	0	0	0	0	0	1173344.11429385	0	234668.822858769	0	0	0
Mar-2031	0	0	0	0	0	1681280.39861372	0	148067.307832459	0	0	0
Apr-2031	0	0	0	0	0	509641.440399092	0	42687.9155206077	0	0	0
May-2031	0	0	0	0	0	536677.417538168	0	0	0	0	0
Jun-2031	0	0	0	0	0	678038.062369733	0	0	0	0	0
Jul-2031	0	0	0	0	0	828411.829411626	0	0	0	0	0
Aug-2031	0	0	0	0	0	849885.425190935	0	0	0	0	0
Sep-2031	0	0	0	0	0	1060278.54318276	0	0	0	0	0
Oct-2032	0	0	0	0	0	1589979.62987745	0	46626.968618107	0	0	0
Nov-2032	0	0	0	0	0	1040176.22535728	0	42169.3064334031	0	0	0
Dec-2032	0	0	0	0	0	1392498.74681672	0	124942.00043797	0	0	0
Jan-2032	0	0	0	0	0	3464953.6674688	0	80580.3178481119	0	0	0
Feb-2032	0	0	0	0	0	2826880.80538632	0	245815.722207506	0	0	0
Mar-2032	0	0	0	0	0	1318716.59166952	0	114671.007971263	0	0	0
Apr-2032	0	0	0	0	0	1232383.27065328	0	107163.762665503	0	0	0
May-2032	0	0	0	0	0	610774.181392994	0	24207.5132869175	0	0	0
Jun-2032	0	0	0	0	0	445724.94880949	0	0	0	0	0
Jul-2032	0	0	0	0	0	443263.057780353	0	0	0	0	0
Aug-2032	0	0	0	0	0	491640.634870585	0	0	0	0	0
Sep-2032	0	0	0	0	0	309553.997943021	0	8519.83480577121	0	0	0
Oct-2033	0	0	0	0	0	560746.19340256	0	112970.844824692	0	0	0
Nov-2033	0	0	0	0	0	320087.045182765	0	32008.7045182765	0	0	0
Dec-2033	0	0	0	0	0	2054090.59374901	0	158006.968749925	0	0	0
Jan-2033	0	0	0	0	0	13549018.0771628	0	156987.314667183	0	0	0
Feb-2033	0	0	0	0	0	1481663.73239291	0	163333.009870085	0	0	0
Mar-2033	0	0	0	0	0	949212.411848407	0	189842.482369682	0	0	0
Apr-2033	0	0	0	0	0	5485180.04912612	0	10919221.4111303	0	0	0
May-2033	0	0	0	0	0	4722623.60861205	0	5023404.29669453	0	0	0
Jun-2033	0	0	0	0	0	2438792.75402509	0	718678.057949422	0	0	0
Jul-2033	0	0	0	0	0	1338599.83739914	0	0	0	0	0
Aug-2033	0	0	0	0	0	1376229.03963495	0	0	0	0	0
Sep-2033	0	0	0	0	0	1606082.22925488	0	0	0	0	0
Oct-2034	0	0	0	0	0	788884.428392066	0	99145.9557534132	0	0	0
Nov-2034	0	0	0	0	0	483248.163225603	0	69035.4518893718	0	0	0
Dec-2034	0	0	0	0	0	750493.035499331	0	114624.347752366	0	0	0
Jan-2034	0	0	0	0	0	498373.847153509	0	99674.7694307022	0	0	0
Feb-2034	0	0	0	0	0	1173344.11429385	0	234668.822858769	0	0	0
Mar-2034	0	0	0	0	0	1681280.39861372	0	148067.307832459	0	0	0
Apr-2034	0	0	0	0	0	509641.440399092	0	42687.9155206077	0	0	0
May-2034	0	0	0	0	0	536677.417538168	0	0	0	0	0
Jun-2034	0	0	0	0	0	678038.062369733	0	0	0	0	0
Jul-2034	0	0	0	0	0	828411.829411626	0	0	0	0	0
Aug-2034	0	0	0	0	0	849885.425190935	0	0	0	0	0
Sep-2034	0	0	0	0	0	1060278.54318276	0	0	0	0	0
Oct-2035	0	0	0	0	0	280726.647098084	0	98364.8487863367	0	0	0
Nov-2035	0	0	0	0	0	290710.607803196	0	109016.477926199	0	0	0
Dec-2035	0	0	0	0	0	473333.12981335	0	202857.055634293	0	0	0
Jan-2035	0	0	0	0	0	347703.863143548	0	162087.515149624	0	0	0
