future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Dec-2028	436505.80902096	33432.7110641918	164066.713848175	16473.7032088919	55330.2332228599	0	52665.5603097932	86159.7171780062	0	286440.404380185	64809.9864286141
Jan-2028	327747.638049784	33192.7678529631	89483.7599936225	12176.680209142	51959.6200878622	0	27094.7354883158	0	0	182802.503979669	52475.8912495083
Feb-2028	4058128.97583771	346894.040335429	1102459.22799595	226326.329679952	199724.111626893	0	190760.500955884	0	0	2080070.52923035	426835.846600895
Mar-2028	1194136.2158542	44008.0438083657	60755.9934993732	16092.0098030027	50340.5416013837	0	19030.2022219625	0	0	258175.227484899	73916.307676747
Apr-2028	1322890.41884804	24245.0857844788	19127.4104895241	3568.78529841505	18510.8607750863	19755.2596994057	8755.45385738172	31018.1669060791	0	148765.142696207	38037.5967353975
May-2028	2374420.55380126	46123.4421884132	27651.5823723473	5829.24981996706	19771.6697277153	70605.0669631888	21712.6836643357	830891.010515278	0	288832.699425878	53914.4421528141
Jun-2028	2835648.20594024	112865.364213304	92429.3336449218	19291.3242449051	25794.5393705488	137269.537659799	12107.8078073205	1599379.01677013	0	460644.891903805	81114.9338928321
Jul-2028	1292756.66194773	106827.555793904	68538.7128775702	22229.2947903153	25308.4976100435	245430.566242339	10197.6468198838	1259640.7729345	0	365715.706384718	64972.3652946138
Aug-2028	482767.492558036	37878.9618871739	23536.0875768406	3597.07962259144	23228.2812804503	284185.516002262	13087.8112833057	1843425.48447003	0	243997.335799283	53757.1086077869
Sep-2028	263574.795800462	19754.7218522327	10415.491882107	2184.63286933037	15801.7193866241	255792.929595829	4631.07429314553	449719.662266154	0	126207.19031251	37568.1503219411
Oct-2029	1568964.08398466	162191.489338918	150656.847174563	51088.1842841506	44943.3366434309	63854.2025179563	57172.6685601213	348874.508972253	0	445634.184888295	73559.8536331177
Nov-2029	244241.914221739	24709.6206149525	27966.7980512543	5339.58120799208	22019.9013253585	800.217612956912	6982.16705669719	66791.4967614703	0	147333.382669601	35952.3119759925
