future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jan-2030	5341030.53553413	565485.807225465	1274188.85247281	506982.527201928	1922038.45426613	6013.01060848765	591109.479537307	0	0	3397408.51498209	1508781.2345262
Feb-2030	13208556.9585758	1241616.6917138	1821589.98869087	903173.015364225	3569335.53873427	8312.06341853338	1224345.05118318	0	0	9297483.00514905	3655648.3622055
Mar-2030	4949876.40706551	403324.167556597	777900.749361786	458410.989771448	2813437.08924608	4427.70960711715	945378.359634143	0	0	3242243.47605729	1938178.51782011
Apr-2030	12127113.978473	1156608.95468351	1424975.35402764	741052.55360949	2931567.72067233	421.534783784793	746772.145339158	0	0	8282890.11415946	3625081.78335996
May-2030	5375125.36005215	487921.767350384	409056.851729768	201700.684743479	480421.71462956	11301.8111821569	110016.038837252	181868.225919767	0	4184183.86490942	1386739.35131936
Jun-2030	11228419.3268358	885173.506539685	719286.564647117	306984.037961888	237356.904767789	114611.130717643	85002.5909355734	879060.354228771	0	6259200.31818253	1781759.38570223
Jul-2030	13956703.4531402	1072433.55848379	871013.584368021	269779.105532074	63131.315807841	260025.216291632	26426.2463883695	2765005.61886767	0	5284069.61694268	1110800.41631796
Aug-2030	8054357.17523532	842860.254093057	515874.767402437	181966.13410783	43681.2354379163	261316.867406217	16934.591717814	4789155.99509867	0	2706909.78615757	252818.31727221
Sep-2030	3248671.29439676	383925.125810753	172697.043155501	107027.620192405	35221.9162166897	206891.56811341	13505.7316851702	2211873.03789483	0	952084.098908201	82400.9492977992
Oct-2031	1087717.32348803	96652.5392237855	29293.6620465272	18218.4497052058	28215.0883683086	66446.4669595103	15912.8750252945	392091.094760533	0	266604.177386742	59520.8639310398
Nov-2031	613683.473721047	71839.0652858212	44210.7563195674	8644.23191111165	46061.5646371533	22348.4169814728	23309.5834780496	69325.7016568136	0	362452.872132169	90999.8298499933
Dec-2031	565753.896677532	70892.0500558131	38317.70038308	8879.6524592137	48004.3534755917	10960.0486805985	19996.177618645	141775.198003346	0	381996.593555984	97875.4708526173
Jan-2031	2180150.89137425	197712.531875858	970261.406933982	255152.127879685	457455.304933693	0	239910.618654857	0	0	1183228.21891989	442337.365095107
Feb-2031	9011295.83247119	810672.200855093	1875299.02436901	868872.495654261	4069054.73373564	0	938576.641941008	0	0	5989263.04544818	3031767.76549472
Mar-2031	1015551.2005076	140455.06613277	180978.449371889	58509.7728673355	242908.037944385	0	64643.9808993945	0	0	720575.580729953	242112.930792935
Apr-2031	2475024.98693201	137327.751620123	122779.20383824	50146.9364894845	109639.432130292	0	42852.6761113966	116621.392482183	0	1264591.56897619	347353.142690318
May-2031	6360169.08162211	256260.407768155	161650.903219302	51037.1986660894	57429.7840855829	18546.5003845203	30849.7907328153	2126665.377425	0	2593176.55863231	769516.18551284
Jun-2031	10171536.9334838	633240.118809385	328907.023690033	119351.369643774	42387.9296956502	67826.8203726789	19746.4859732201	3601180.24416192	0	2348321.88025447	583528.223973465
Jul-2031	3796724.89848958	331944.711530675	93172.7673785858	70183.7505707193	35779.8295803181	222189.79365409	13491.4821805742	3680313.922547	0	624967.076196048	97559.3253775592
