future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2030	1749526.47415505	180857.106531349	167995.013611291	56967.608012184	50115.5877927119	71202.7884714248	63752.318019921	389024.322376245	0	496919.47203184	82025.4030540116
Nov-2030	499076.297085745	50490.8668039192	57146.4814188003	10910.7334249517	44994.7784378906	1635.13967047751	14267.1420316782	136479.657829189	0	301056.431260629	73463.8310947728
Dec-2030	12066572.861995	1176377.74616919	2143835.57010069	799810.049600902	1563412.28123165	1681.17188641771	566114.783653298	93487.7757707936	0	7218798.90737438	2496340.28191105
Jan-2030	4912180.18127039	520080.93879299	1171879.69375402	466275.095377756	1767711.14485708	5530.20458210651	543647.195241851	0	0	3124618.49149591	1387635.81836948
Feb-2030	10004376.9221125	940420.775384274	1379702.0296436	684078.00336721	2703473.07453633	6295.69268621128	927338.952557338	0	0	7042065.58688872	2768847.81773697
Mar-2030	4525509.8744015	368746.076216521	711209.176357621	419110.153494665	2572233.38146714	4048.10987187257	864328.469992277	0	0	2964277.01612246	1772013.13718209
Apr-2030	10005594.8169876	954271.608463925	1175689.94914233	611412.707316221	2418718.81831696	347.791424678949	616131.712799903	0	0	6833880.05942922	2990909.42553422
May-2030	4633812.08328211	420629.776943963	352641.558163836	173883.027383299	414164.097988585	9743.11587373726	94843.1182475615	156785.772680829	0	3607119.91872562	1195486.45511853
Jun-2030	10369749.6510933	817481.730367798	664280.6423304	283508.081403617	219205.536305347	105846.486328687	78502.1971516081	811836.068480939	0	5780541.1809364	1645503.09624254
Jul-2030	13511241.018851	1038204.21018678	843213.048740517	261168.443460319	61116.3249674851	251725.87352672	25582.7878965549	2676753.68043969	0	5115415.57034636	1075346.49561786
Aug-2030	7969306.81991309	833960.03244433	510427.364051087	180044.654339082	43219.981421726	258557.479916806	16755.7701170952	4738584.68193054	0	2678326.04767553	250148.670614115
Sep-2030	3216673.58393184	380143.664436963	170996.067746088	105973.454198889	34874.9987926138	204853.79454563	13372.7073029175	2190087.24713977	0	942706.569273958	81589.3431121524
Oct-2031	1037813.02534293	92218.1360661365	27949.6734817006	17382.5901245984	26920.5845926335	63397.9136026487	15182.7948450309	374102.017570679	0	254372.420047094	56790.0561418033
Nov-2031	366278.503126942	42877.324265196	26387.2995449148	5159.33125245496	27491.9590789736	13338.7080958798	13912.3827029004	41377.2169504844	0	216330.895557044	54313.4741109435
Dec-2031	279207.948958464	34986.2793871773	18910.3541232217	4382.2403436563	23690.8612626607	5408.94677096504	9868.41058046349	69968.1654517299	0	188520.99123354	48302.9982304821
Jan-2031	1603724.49640633	145437.837293896	713726.738995052	187690.549039437	336505.27650898	0	176478.856397993	0	0	870385.663225785	325384.481819831
Feb-2031	5677832.17064795	510787.880837197	1181587.34638137	547458.68959715	2563827.70034927	0	591377.838582176	0	0	3773711.46504609	1910254.51531967
Mar-2031	863887.420726805	119479.317979048	153950.884757826	49771.8448310723	206631.825425145	0	54989.9619997275	0	0	612963.85604623	205955.460643218
Apr-2031	1886322.11821098	104663.33741799	93575.26856466	38219.1193867064	83560.8880505988	0	32659.8524056352	88882.1378601087	0	963799.177647835	264732.646880885
May-2031	5354692.46349311	215748.30111558	136095.575774298	42968.7480863967	48350.73220171	15614.4914637764	25972.7595001633	1790461.68784636	0	2183222.30066783	647863.675669871
Jun-2031	8934788.24120369	556244.980910537	288915.493000966	104839.536152528	37234.016677158	59579.813853803	17345.5272130828	3163315.74180035	0	2062791.38142722	512577.51390604
Jul-2031	3654647.30324756	319522.977634088	89686.1405923101	67557.3979186953	34440.9092527054	213875.208738483	12986.6161721813	3542592.55325337	0	601580.12516183	93908.5487967773
Aug-2031	1518125.54560593	126746.769677825	29904.6271067702	10445.0906247826	28304.4981324738	333199.695972809	10080.3668966106	3696136.6274698	0	415527.680272062	70735.6590364473
Sep-2031	446802.834355193	35006.0087535905	11620.4021916927	3211.87889545473	22453.9800429344	43537.3932995323	7744.73440419504	1013493.41779239	0	181709.207853317	53346.0506305539
Oct-2032	220720.745386466	28618.7387054272	8469.46213283964	2460.84935325383	23972.8734938743	0	8704.88947560239	587560.284163152	0	149575.435652564	45721.8834526837
Nov-2032	226353.988388504	24508.0415763741	26185.2288462589	2393.80442573511	27390.6919668958	13854.9155934325	11633.0806978808	138549.155934325	0	175582.165025567	39957.1344978119
Dec-2032	216861.388964517	24796.0880703787	40512.2501442128	3948.70990916984	37075.615533074	17225.9903048099	16388.1992424233	0	0	174411.993898135	45057.7712338875
Jan-2032	374195.527472662	36380.6375198234	74522.6189459844	11101.9997030217	49437.0679112605	37287.4841496888	35973.3554280861	0	0	251502.78839691	63573.5131988692
Feb-2032	1622437.39965438	130921.596865274	516161.924614448	77229.8328835727	95919.1274874435	35682.537521604	128562.866845567	0	0	949111.443630125	119857.522120888
Mar-2032	1230239.1563398	91808.0266750165	139536.239685348	50780.5857314492	90216.2197530384	26066.252256038	51287.7915230127	0	0	687701.027816881	174402.193975157
Apr-2032	4318029.46272014	77881.6631841581	79026.9041123367	14489.0559846955	49051.5231795993	23288.884061975	20722.7916336215	40755.5471084562	0	488571.252461716	137130.053708356
May-2032	4864152.24681867	87088.8166148397	45712.7792921974	6788.88432384203	34397.6946394512	25352.708044762	11908.0679261907	3430793.87896054	0	566441.321347419	117449.257955477
