future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
May-2031	0	0	0	0	0	700130.389515643	0	0	0	0	0
Jun-2031	0	0	0	0	0	856313.607205071	0	0	0	0	0
Jul-2031	0	0	0	0	0	876940.56857093	0	0	0	0	0
Aug-2031	0	0	0	0	0	880661.453175852	0	0	0	0	0
Sep-2031	0	0	0	0	0	1074933.47531576	0	0	0	0	0
Oct-2032	0	0	0	0	0	1633202.37810479	0	47894.4978916363	0	0	0
Nov-2032	0	0	0	0	0	2769260.60568625	0	112267.321852145	0	0	0
Dec-2032	0	0	0	0	0	4021181.45793596	0	360800.651797439	0	0	0
Jan-2032	0	0	0	0	0	12692732.4708406	0	295179.824903271	0	0	0
Feb-2032	0	0	0	0	0	3945196.4707721	0	343060.562675834	0	0	0
Mar-2032	0	0	0	0	0	1956729.73196245	0	170150.411474997	0	0	0
Apr-2032	0	0	0	0	0	1777565.78168555	0	154570.937537874	0	0	0
May-2032	0	0	0	0	0	889153.821775442	0	35240.8526923194	0	0	0
Jun-2032	0	0	0	0	0	558457.690017759	0	0	0	0	0
Jul-2032	0	0	0	0	0	473693.324149517	0	0	0	0	0
Aug-2032	0	0	0	0	0	519328.416334339	0	0	0	0	0
Sep-2032	0	0	0	0	0	280040.453013055	0	7707.53540402904	0	0	0
Oct-2033	0	0	0	0	0	621318.971133686	0	125174.1516936	0	0	0
Nov-2033	0	0	0	0	0	1190066.73543321	0	119006.673543321	0	0	0
Dec-2033	0	0	0	0	0	3600172.43738599	0	276936.341337385	0	0	0
Jan-2033	0	0	0	0	0	19353756.2502361	0	224244.606151119	0	0	0
Feb-2033	0	0	0	0	0	1870444.39274195	0	206190.720459743	0	0	0
Mar-2033	0	0	0	0	0	1168161.68357984	0	233632.33671597	0	0	0
Apr-2033	0	0	0	0	0	6302583.70664901	0	12546408.0191947	0	0	0
May-2033	0	0	0	0	0	6081956.90575846	0	6469312.60771744	0	0	0
Jun-2033	0	0	0	0	0	2920208.51876198	0	860544.539345318	0	0	0
Jul-2033	0	0	0	0	0	1423949.50556881	0	0	0	0	0
Aug-2033	0	0	0	0	0	1408077.18572742	0	0	0	0	0
Sep-2033	0	0	0	0	0	1639680.31388426	0	0	0	0	0
Oct-2034	0	0	0	0	0	899743.351641053	0	113078.559191559	0	0	0
Nov-2034	0	0	0	0	0	1532462.87872957	0	218923.268389938	0	0	0
Dec-2034	0	0	0	0	0	2090840.0559911	0	319338.310065789	0	0	0
Jan-2034	0	0	0	0	0	1400578.18694199	0	280115.637388399	0	0	0
Feb-2034	0	0	0	0	0	1511921.45384517	0	302384.290769034	0	0	0
Mar-2034	0	0	0	0	0	2096671.02598994	0	184650.005129797	0	0	0
Apr-2034	0	0	0	0	0	710661.610438298	0	59525.5024127805	0	0	0
May-2034	0	0	0	0	0	700130.389515643	0	0	0	0	0
Jun-2034	0	0	0	0	0	856313.607205071	0	0	0	0	0
Jul-2034	0	0	0	0	0	876940.56857093	0	0	0	0	0
Aug-2034	0	0	0	0	0	880661.453175852	0	0	0	0	0
Sep-2034	0	0	0	0	0	1074933.47531576	0	0	0	0	0
Oct-2035	0	0	0	0	0	325361.027411043	0	114004.454486547	0	0	0
Nov-2035	0	0	0	0	0	408216.371997425	0	153081.139499035	0	0	0
Dec-2035	0	0	0	0	0	753284.654894616	0	322836.280669122	0	0	0
Jan-2035	0	0	0	0	0	767812.855259727	0	357927.797188746	0	0	0
Feb-2035	0	0	0	0	0	1392861.09840944	0	374662.004318996	0	0	0
Mar-2035	0	0	0	0	0	682355.596037528	0	168492.275669603	0	0	0
Apr-2035	0	0	0	0	0	256487.491256191	0	82038.2784532673	0	0	0
May-2035	0	0	0	0	0	319871.014039624	0	31756.9783722793	0	0	0
Jun-2035	0	0	0	0	0	583227.114652602	0	63313.2883083925	0	0	0
Jul-2035	0	0	0	0	0	624120.997104071	0	118641.474683773	0	0	0
Aug-2035	0	0	0	0	0	569659.973821834	0	104803.912097786	0	0	0
Sep-2035	0	0	0	0	0	541662.688788093	0	143654.691254253	0	0	0
Oct-2036	0	0	0	0	0	325361.027411043	0	114004.454486547	0	0	0
Nov-2036	0	0	0	0	0	408216.371997425	0	153081.139499035	0	0	0
Dec-2036	0	0	0	0	0	753284.654894616	0	322836.280669122	0	0	0
Jan-2036	0	0	0	0	0	767812.855259727	0	357927.797188746	0	0	0
Feb-2036	0	0	0	0	0	1392861.09840944	0	374662.004318996	0	0	0
Mar-2036	0	0	0	0	0	682355.596037528	0	168492.275669603	0	0	0
Apr-2036	0	0	0	0	0	256487.491256191	0	82038.2784532673	0	0	0
May-2036	0	0	0	0	0	319871.014039624	0	31756.9783722793	0	0	0
Jun-2036	0	0	0	0	0	583227.114652602	0	63313.2883083925	0	0	0
Jul-2036	0	0	0	0	0	624120.997104071	0	118641.474683773	0	0	0
Aug-2036	0	0	0	0	0	569659.973821834	0	104803.912097786	0	0	0
Sep-2036	0	0	0	0	0	541662.688788093	0	143654.691254253	0	0	0
Oct-2037	0	0	0	0	0	697623.090843017	0	149663.085232758	0	0	0
Nov-2037	0	0	0	0	0	1474842.10458337	0	294968.420916674	0	0	0
Dec-2037	0	0	0	0	0	2047884.86801483	0	412236.564340649	0	0	0
Jan-2037	0	0	0	0	0	1117889.28628864	0	223577.857257729	0	0	0
Feb-2037	0	0	0	0	0	1217574.57660625	0	243514.91532125	0	0	0
Mar-2037	0	0	0	0	0	944166.459688163	0	188833.291937633	0	0	0
Apr-2037	0	0	0	0	0	475322.589132901	0	95713.4223851237	0	0	0
May-2037	0	0	0	0	0	509962.770228132	0	0	0	0	0
Jun-2037	0	0	0	0	0	645645.912479874	0	0	0	0	0
Jul-2037	0	0	0	0	0	474284.212543994	0	0	0	0	0
Aug-2037	0	0	0	0	0	541874.28149113	0	0	0	0	0
Sep-2037	0	0	0	0	0	650315.786190558	0	18064.3273941822	0	0	0
Oct-2038	0	0	0	0	0	773802.94572969	0	87697.6671826982	0	0	0
Nov-2038	0	0	0	0	0	1232102.89759138	0	246420.579518277	0	0	0
Dec-2038	0	0	0	0	0	1624244.4157792	0	324848.883155841	0	0	0
Jan-2038	0	0	0	0	0	924378.788289951	0	184875.757657991	0	0	0
Feb-2038	0	0	0	0	0	1177291.49046144	0	235458.298092289	0	0	0
Mar-2038	0	0	0	0	0	1139844.76138759	0	227968.952277519	0	0	0
Apr-2038	0	0	0	0	0	835942.308811862	0	164401.987399667	0	0	0
May-2038	0	0	0	0	0	687961.598485743	0	94891.2549635506	0	0	0
Jun-2038	0	0	0	0	0	508000.781862432	0	0	0	0	0
Jul-2038	0	0	0	0	0	381449.098740355	0	0	0	0	0
Aug-2038	0	0	0	0	0	584937.938809627	0	0	0	0	0
Sep-2038	0	0	0	0	0	751332.979498346	0	22767.6660454044	0	0	0
Oct-2039	0	0	0	0	0	736400.191053161	0	100876.738500433	0	0	0
Nov-2039	0	0	0	0	0	1149358.13944793	0	236981.059679986	0	0	0
Dec-2039	0	0	0	0	0	2257401.71022254	0	451480.34204451	0	0	0
Jan-2039	0	0	0	0	0	5678366.2641982	0	270606.232421437	0	0	0
Feb-2039	0	0	0	0	0	10917777.3644653	0	313791.420782452	0	0	0
Mar-2039	0	0	0	0	0	2801641.73908229	0	140082.086954115	0	0	0
Apr-2039	0	0	0	0	0	440167.48257536	0	36680.6235479466	0	0	0
May-2039	0	0	0	0	0	498947.119437407	0	23332.059542037	0	0	0
Jun-2039	0	0	0	0	0	519743.034296953	0	0	0	0	0
Jul-2039	0	0	0	0	0	556036.557231714	0	0	0	0	0
Aug-2039	0	0	0	0	0	626155.349330098	0	0	0	0	0
Sep-2039	0	0	0	0	0	524527.664689274	0	4995.50156846928	0	0	0
Oct-2040	0	0	0	0	0	899743.351641053	0	113078.559191559	0	0	0
Nov-2040	0	0	0	0	0	1532462.87872957	0	218923.268389938	0	0	0
Dec-2040	0	0	0	0	0	2090840.0559911	0	319338.310065789	0	0	0
Jan-2040	0	0	0	0	0	1400578.18694199	0	280115.637388399	0	0	0
Feb-2040	0	0	0	0	0	1511921.45384517	0	302384.290769034	0	0	0
Mar-2040	0	0	0	0	0	2096671.02598994	0	184650.005129797	0	0	0
Apr-2040	0	0	0	0	0	710661.610438298	0	59525.5024127805	0	0	0
May-2040	0	0	0	0	0	700130.389515643	0	0	0	0	0
Jun-2040	0	0	0	0	0	856313.607205071	0	0	0	0	0
Jul-2040	0	0	0	0	0	876940.56857093	0	0	0	0	0
Aug-2040	0	0	0	0	0	880661.453175852	0	0	0	0	0
Sep-2040	0	0	0	0	0	1074933.47531576	0	0	0	0	0
Oct-2041	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2041	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2041	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2041	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2041	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2041	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2041	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2041	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
Jun-2041	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2041	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2041	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2041	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2042	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2042	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2042	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2042	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2042	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2042	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2042	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2042	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
Jun-2042	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2042	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2042	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2042	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2043	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2043	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2043	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2043	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2043	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2043	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2043	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2043	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
